,¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,Year
0,1,Çö´ë,4.34,6,3,56,0,5218,20097,0.277,219,26,78,37,8,54,1,2001
1,2,SK,4.38,11,8,61,0,5110,19710,0.259,217,9,76,34,31,54,1,2001
2,3,»ï¼º,4.39,7,6,51,0,5243,20128,0.265,207,13,76,37,20,38,8,2001
3,4,·Ôµ¥,4.68,0,3,43,0,5189,19593,0.276,251,22,86,38,23,53,2,2001
4,5,ÇÑÈ­,4.82,7,5,49,0,5331,20774,0.280,238,26,73,45,44,57,5,2001
5,6,µÎ»ê,4.96,1,3,27,0,5282,20071,0.284,196,23,85,48,17,47,0,2001
6,7,KIA,5.01,10,6,35,0,5207,19799,0.272,212,16,71,36,17,51,3,2001
7,8,LG,5.09,0,3,43,0,5380,21119,0.277,204,23,99,46,43,52,6,2001
0,1,»ï¼º,3.92,2,8,45,0,5089,19535,0.262,214,22,80,33,16,45,3,2002
1,2,KIA,3.92,10,7,55,0,5106,19112,0.260,159,12,54,34,14,55,2,2002
2,3,LG,3.93,2,9,38,0,5145,20432,0.252,185,19,74,26,30,40,5,2002
3,4,µÎ»ê,3.93,3,6,60,0,5087,19237,0.257,187,23,77,33,30,44,2,2002
4,5,Çö´ë,4.23,3,6,49,0,5131,19927,0.268,230,10,64,32,12,54,5,2002
5,6,SK,4.47,5,7,54,0,5074,19578,0.255,209,15,55,23,34,34,3,2002
6,7,·Ôµ¥,4.72,5,7,49,0,5156,19635,0.281,266,28,70,45,16,40,1,2002
7,8,ÇÑÈ­,4.79,8,5,54,0,5198,20061,0.272,229,25,62,38,29,42,4,2002
0,1,KIA,3.62,12,10,65,0,4999,19162,0.250,178,10,88,30,12,42,1,2003
1,2,LG,3.98,2,10,48,0,5166,20403,0.271,185,23,116,34,27,49,2,2003
2,3,Çö´ë,4.13,2,4,58,0,5197,20181,0.273,229,17,92,33,6,56,2,2003
3,4,µÎ»ê,4.24,7,7,52,0,5144,19144,0.268,208,18,105,43,22,37,3,2003
4,5,»ï¼º,4.37,2,5,45,0,5150,19834,0.268,222,24,95,29,15,46,3,2003
5,6,ÇÑÈ­,4.37,4,8,54,0,5165,19888,0.261,222,14,82,45,14,53,9,2003
6,7,SK,4.44,3,10,44,0,5158,19830,0.267,212,21,84,32,19,42,2,2003
7,8,·Ôµ¥,5.01,3,4,44,0,5173,19413,0.289,259,22,93,40,16,36,3,2003
0,1,»ï¼º,3.76,4,9,52,0,5138,20237,0.247,181,13,87,34,17,43,6,2004
1,2,µÎ»ê,3.88,4,12,54,0,5056,19198,0.260,177,15,84,40,18,49,3,2004
2,3,Çö´ë,4.06,3,8,70,0,5135,20159,0.263,232,16,69,25,0,41,4,2004
3,4,·Ôµ¥,4.22,4,8,49,0,5160,19578,0.272,220,13,105,53,41,43,3,2004
4,5,LG,4.31,3,6,46,0,5180,20349,0.277,207,17,76,42,31,55,1,2004
5,6,SK,4.40,3,6,39,0,5216,20469,0.263,208,13,79,25,18,57,8,2004
6,7,KIA,4.51,5,9,49,0,5199,19717,0.268,213,22,77,39,13,48,1,2004
7,8,ÇÑÈ­,5.21,3,0,48,0,5267,19697,0.282,215,12,95,44,18,47,2,2004
0,1,SK,3.41,2,10,50,0,4822,18822,0.240,160,11,88,23,14,31,1,2005
1,2,µÎ»ê,3.42,2,14,55,0,4774,18006,0.251,148,6,82,33,13,56,2,2005
2,3,»ï¼º,3.83,2,7,40,0,4791,18580,0.244,197,21,93,23,11,49,5,2005
3,4,·Ôµ¥,4.30,2,6,58,0,4845,18373,0.260,191,17,98,26,41,44,1,2005
4,5,ÇÑÈ­,4.41,2,6,55,0,4870,18413,0.279,187,16,79,45,9,35,2,2005
5,6,Çö´ë,4.68,2,9,47,0,4930,18926,0.273,205,21,85,33,2,43,3,2005
6,7,KIA,4.81,8,5,41,0,4975,19287,0.276,200,7,91,33,16,59,3,2005
7,8,LG,4.90,3,7,50,0,4969,19542,0.283,200,18,88,40,27,48,5,2005
0,1,KIA,3.33,2,9,49,8,4725,18216,0.243,172,7,81,23,17,44,2,2006
1,2,»ï¼º,3.33,1,15,56,9,4699,18038,0.249,185,10,98,28,9,21,7,2006
2,3,ÇÑÈ­,3.35,11,14,56,10,4731,17764,0.257,166,11,94,18,17,37,2,2006
3,4,µÎ»ê,3.36,7,10,67,8,4690,17927,0.240,158,18,117,47,13,55,1,2006
4,5,Çö´ë,3.41,2,15,67,8,4771,18458,0.251,172,18,82,23,0,39,0,2006
5,6,SK,3.80,0,6,47,11,4819,18300,0.259,172,11,119,33,24,26,2,2006
6,7,·Ôµ¥,3.86,5,9,64,18,4822,18088,0.268,210,12,100,38,30,30,1,2006
7,8,LG,4.22,3,10,51,12,4834,18397,0.273,188,22,115,33,23,41,3,2006
0,1,SK,3.24,1,10,58,9,4852,18425,0.256,141,7,94,32,27,28,1,2007
1,2,µÎ»ê,3.44,6,14,57,11,4814,18464,0.252,187,17,79,34,24,43,4,2007
2,3,ÇÑÈ­,3.54,9,5,66,12,4781,18314,0.261,182,6,82,36,24,38,4,2007
3,4,»ï¼º,3.71,0,11,42,6,4824,18606,0.258,187,20,94,46,7,35,5,2007
4,5,·Ôµ¥,4.12,2,9,59,12,4871,18425,0.274,184,19,95,43,40,46,4,2007
5,6,LG,4.33,2,9,58,16,5014,19341,0.275,215,27,105,55,21,48,2,2007
6,7,Çö´ë,4.41,1,2,44,11,4906,18861,0.259,192,21,91,32,20,32,4,2007
7,8,KIA,4.49,2,6,43,6,4933,18852,0.266,244,17,93,39,28,60,7,2007
0,1,SK,3.22,1,10,52,16,4855,18607,0.248,127,14,70,32,13,35,2,2008
1,2,·Ôµ¥,3.64,9,5,68,11,4769,17361,0.270,196,22,78,40,32,42,2,2008
2,3,µÎ»ê,3.89,0,8,41,14,4857,18259,0.259,192,29,66,45,13,45,5,2008
3,4,KIA,4.08,3,9,58,10,4850,18391,0.256,180,19,50,42,9,52,5,2008
4,5,»ï¼º,4.40,0,6,27,7,4867,18532,0.275,209,18,54,41,4,49,4,2008
5,6,ÇÑÈ­,4.43,3,5,44,10,4911,18991,0.269,174,16,74,46,28,37,4,2008
6,7,¿ì¸®,4.43,4,10,57,15,4933,18768,0.269,209,29,52,39,20,46,2,2008
7,8,LG,4.85,1,9,42,10,4976,18608,0.288,225,41,77,39,4,46,3,2008
0,1,SK,3.67,2,4,54,10,5203,20394,0.252,154,17,64,31,34,68,3,2009
1,2,KIA,3.92,4,10,62,14,5176,19699,0.258,214,17,52,34,22,22,2,2009
2,3,µÎ»ê,4.60,1,6,27,15,5205,19936,0.272,222,28,73,47,7,55,3,2009
3,4,·Ôµ¥,4.75,6,13,52,7,5165,18777,0.287,241,14,67,42,35,49,3,2009
4,5,»ï¼º,4.98,3,2,45,14,5209,20355,0.278,225,24,80,51,9,67,1,2009
5,6,È÷¾î·ÎÁî,5.40,0,5,44,14,5221,20576,0.274,251,15,73,33,19,51,5,2009
6,7,LG,5.42,0,3,44,11,5339,20615,0.290,241,20,85,43,10,56,1,2009
7,8,ÇÑÈ­,5.70,4,2,32,9,5346,20758,0.292,205,23,65,56,28,56,5,2009
0,1,SK,3.71,2,11,53,9,5114,20297,0.243,155,17,85,22,27,80,2,2010
1,2,»ï¼º,3.94,2,7,35,12,5119,19811,0.260,203,20,84,38,11,61,3,2010
2,3,KIA,4.39,4,7,54,26,5205,20067,0.272,232,14,102,35,19,53,4,2010
3,4,³Ø¼¾,4.55,1,2,42,12,5231,21053,0.265,201,16,93,48,17,66,3,2010
4,5,µÎ»ê,4.62,2,7,50,12,5131,19681,0.266,194,23,89,47,6,58,2,2010
5,6,·Ôµ¥,4.82,7,6,63,14,5204,19218,0.282,227,20,89,37,41,49,3,2010
6,7,LG,5.23,3,8,34,19,5326,20443,0.284,209,14,106,52,23,74,6,2010
7,8,ÇÑÈ­,5.43,6,6,46,9,5267,20322,0.286,229,14,85,41,17,65,5,2010
0,1,»ï¼º,3.35,1,12,65,8,5077,19378,0.263,183,19,87,30,8,40,5,2011
1,2,SK,3.59,1,9,34,15,5032,20130,0.233,149,16,99,35,24,64,3,2011
2,3,KIA,4.10,7,10,59,10,4991,19327,0.257,207,18,92,25,14,51,6,2011
3,4,LG,4.15,2,11,57,15,5209,19771,0.261,206,28,98,34,20,52,6,2011
4,5,·Ôµ¥,4.20,3,6,67,15,5114,19624,0.280,202,13,102,31,19,62,4,2011
5,6,µÎ»ê,4.26,4,7,51,12,5170,20081,0.276,198,30,110,45,19,70,6,2011
6,7,³Ø¼¾,4.36,0,10,44,13,5195,20610,0.268,194,20,115,46,16,73,1,2011
7,8,ÇÑÈ­,5.11,4,6,44,12,5280,20442,0.278,223,18,79,44,10,91,2,2011
0,1,»ï¼º,3.39,3,13,67,5,4941,19074,0.247,196,21,82,43,14,46,5,2012
1,2,·Ôµ¥,3.48,3,9,57,15,5070,19536,0.259,162,7,96,30,20,65,1,2012
2,3,µÎ»ê,3.58,9,12,80,14,5012,19215,0.243,198,23,99,34,17,57,4,2012
3,4,SK,3.82,0,10,54,15,5007,19078,0.256,201,19,92,32,26,35,7,2012
4,5,³Ø¼¾,3.83,3,6,64,11,5116,19743,0.259,202,18,104,43,9,62,0,2012
5,6,KIA,3.90,11,15,74,18,5101,19344,0.262,229,23,112,38,13,56,6,2012
6,7,LG,4.02,1,11,48,10,5188,19186,0.272,203,35,116,41,23,57,6,2012
7,8,ÇÑÈ­,4.55,3,6,60,12,5092,19601,0.263,186,14,121,47,18,82,3,2012
0,1,LG,3.72,4,9,55,11,4848,18714,0.266,183,20,59,38,27,46,2,2013
1,2,·Ôµ¥,3.93,1,11,68,21,4986,19418,0.267,180,13,94,36,15,45,0,2013
2,3,NC,3.96,5,5,74,21,4919,19087,0.254,176,15,84,50,13,60,6,2013
3,4,»ï¼º,3.98,2,5,70,7,4896,19250,0.259,194,21,70,29,12,44,4,2013
4,5,³Ø¼¾,4.12,0,7,53,12,4996,19638,0.270,202,21,71,37,8,52,3,2013
5,6,SK,4.16,4,8,65,17,4932,19108,0.257,217,12,75,42,15,66,5,2013
6,7,µÎ»ê,4.57,1,8,44,17,5043,19707,0.272,207,30,67,39,10,55,6,2013
7,8,KIA,5.12,2,3,48,12,5200,20309,0.293,259,28,79,48,12,73,6,2013
8,9,ÇÑÈ­,5.31,2,2,34,8,5073,19471,0.276,227,32,78,43,17,89,8,2013
0,1,NC,4.29,3,4,59,19,5003,19320,0.271,223,12,78,38,8,50,5,2014
1,2,»ï¼º,4.52,3,6,63,18,4990,19628,0.275,257,24,66,40,11,51,3,2014
2,3,LG,4.58,2,9,47,21,5028,19440,0.275,195,27,72,44,25,51,1,2014
3,4,·Ôµ¥,5.19,0,4,46,14,5092,19761,0.295,250,26,82,42,13,54,1,2014
4,5,³Ø¼¾,5.25,0,3,43,12,5107,20728,0.293,231,18,57,36,2,55,4,2014
5,6,µÎ»ê,5.43,4,2,42,14,5066,19670,0.295,243,29,63,55,4,56,4,2014
6,7,SK,5.51,2,3,41,15,5112,20141,0.287,239,21,60,36,19,67,1,2014
7,8,KIA,5.82,2,5,42,21,5143,20272,0.293,252,32,66,52,8,78,1,2014
8,9,ÇÑÈ­,6.35,2,3,37,11,5312,20365,0.318,265,48,69,59,14,83,3,2014
0,1,NC,4.26,1,11,55,11,5536,21650,0.264,221,17,79,50,13,60,3,2015
1,2,LG,4.62,3,5,57,15,5599,21661,0.277,227,26,91,37,30,82,3,2015
2,3,»ï¼º,4.69,4,7,75,10,5523,21832,0.268,270,17,67,37,11,44,2,2015
3,4,SK,4.71,3,7,57,12,5646,22190,0.275,270,11,77,38,31,71,4,2015
4,5,KIA,4.79,1,10,44,17,5673,22126,0.283,252,31,101,49,22,80,4,2015
5,6,³Ø¼¾,4.91,1,7,49,11,5709,22181,0.281,236,28,70,45,8,85,4,2015
6,7,µÎ»ê,5.02,3,10,58,18,5762,22557,0.280,248,22,104,45,15,72,11,2015
7,8,·Ôµ¥,5.07,3,5,59,18,5724,22356,0.291,253,13,76,49,26,89,3,2015
8,9,ÇÑÈ­,5.11,5,7,37,14,5771,22825,0.275,232,12,82,45,38,85,9,2015
9,10,KT,5.56,3,3,34,10,5799,22867,0.303,273,25,87,43,17,86,4,2015
0,1,µÎ»ê,4.45,2,7,75,15,5658,22155,0.279,246,30,59,51,7,66,4,2016
1,2,NC,4.48,0,10,42,13,5643,22029,0.266,208,18,53,40,2,84,7,2016
2,3,SK,4.87,1,5,60,12,5659,21558,0.280,232,22,61,48,18,65,7,2016
3,4,³Ø¼¾,4.96,0,4,45,17,5684,21627,0.294,249,27,66,59,3,50,3,2016
4,5,KIA,4.97,7,5,58,21,5771,22527,0.290,230,23,75,54,18,69,7,2016
5,6,LG,5.04,2,5,53,16,5782,22100,0.284,243,23,64,56,27,84,1,2016
6,7,·Ôµ¥,5.63,2,5,50,18,5785,22761,0.297,276,32,60,52,27,82,5,2016
7,8,»ï¼º,5.64,2,4,49,18,5799,22623,0.296,251,20,59,43,6,52,8,2016
8,9,ÇÑÈ­,5.76,1,2,25,13,5937,23157,0.299,230,15,81,59,23,72,6,2016
9,10,KT,5.92,1,2,38,15,5896,23328,0.310,315,38,73,45,9,77,9,2016
0,1,LG,4.30,4,6,62,18,5507,21107,0.266,249,29,57,54,31,81,3,2017
1,2,µÎ»ê,4.38,3,9,69,13,5682,22169,0.280,234,31,77,39,11,54,4,2017
2,3,·Ôµ¥,4.56,1,10,61,21,5634,21978,0.273,245,20,51,50,25,67,7,2017
3,4,NC,4.71,1,10,48,11,5640,22176,0.269,208,9,63,29,12,93,3,2017
4,5,KIA,4.79,5,5,75,18,5748,22223,0.295,255,21,52,46,22,69,4,2017
5,6,SK,5.02,2,4,57,24,5692,21752,0.288,271,17,58,36,35,61,7,2017
6,7,³Ø¼¾,5.03,2,5,60,18,5663,21258,0.292,280,21,47,40,10,56,3,2017
7,8,ÇÑÈ­,5.28,1,5,54,21,5698,22066,0.293,278,16,71,57,13,77,4,2017
8,9,KT,5.75,4,7,49,18,5702,21518,0.301,283,27,68,49,11,77,6,2017
9,10,»ï¼º,5.88,1,3,43,12,5916,23196,0.300,281,28,56,59,15,74,4,2017
0,1,SK,4.67,0,7,60,21,5563,21347,0.271,232,17,39,24,15,62,2,2018
1,2,ÇÑÈ­,4.93,0,5,45,13,5637,22342,0.279,246,13,29,46,9,78,7,2018
2,3,µÎ»ê,4.98,1,9,73,17,5700,21946,0.279,266,16,42,43,17,72,2,2018
3,4,³Ø¼¾,5.08,4,2,63,23,5646,21381,0.285,252,18,41,33,13,59,4,2018
4,5,»ï¼º,5.19,0,5,58,17,5740,22530,0.289,291,18,40,43,10,45,5,2018
5,6,LG,5.29,3,7,64,17,5677,21711,0.285,266,19,45,50,13,72,4,2018
6,7,KT,5.34,4,5,59,18,5743,21948,0.307,272,23,56,43,25,63,1,2018
7,8,·Ôµ¥,5.37,0,6,43,22,5788,22871,0.279,295,26,63,43,23,65,7,2018
8,9,KIA,5.40,4,5,50,20,5708,21852,0.297,271,17,47,51,28,65,3,2018
9,10,NC,5.48,1,4,45,20,5701,22506,0.289,248,20,45,51,17,92,6,2018
0,1,SK,3.48,0,19,78,8,5463,20930,0.254,176,14,48,44,12,50,4,2019
1,2,µÎ»ê,3.51,3,10,81,16,5434,20630,0.257,231,22,41,53,22,48,5,2019
2,3,Å°¿ò,3.61,2,12,76,11,5427,20160,0.263,244,24,42,39,3,45,6,2019
3,4,LG,3.86,1,9,73,13,5555,20969,0.258,223,23,40,48,15,64,1,2019
4,5,NC,4.01,5,8,60,17,5578,21407,0.262,199,19,41,54,10,68,2,2019
5,6,KT,4.29,2,10,62,9,5533,20662,0.266,225,25,47,42,17,50,6,2019
6,7,»ï¼º,4.64,4,8,54,15,5638,21721,0.269,253,37,40,56,9,49,5,2019
7,8,KIA,4.65,3,11,59,13,5614,21353,0.276,257,24,35,61,17,51,2,2019
8,9,ÇÑÈ­,4.80,2,8,48,17,5656,21848,0.283,238,19,44,44,9,66,4,2019
9,10,·Ôµ¥,4.83,1,8,47,17,5729,21946,0.282,242,20,58,64,33,103,4,2019
0,1,µÎ»ê,4.31,1,13,63,15,5681,22408,0.276,258,25,48,41,22,52,4,2020
1,2,LG,4.37,2,13,70,19,5655,21725,0.270,240,17,38,56,12,49,4,2020
2,3,Å°¿ò,4.39,0,6,53,18,5556,21349,0.270,208,15,50,39,16,51,7,2020
3,4,KT,4.54,0,5,56,23,5680,21496,0.271,227,9,45,48,20,75,1,2020
4,5,NC,4.58,0,7,59,19,5690,22362,0.260,199,15,53,35,10,65,7,2020
5,6,·Ôµ¥,4.64,1,16,59,18,5583,21520,0.271,241,17,51,40,25,62,4,2020
6,7,»ï¼º,4.78,3,11,53,19,5634,22269,0.270,222,16,50,47,16,55,5,2020
7,8,KIA,5.13,1,5,57,18,5681,22134,0.284,265,34,59,59,8,78,4,2020
8,9,ÇÑÈ­,5.28,1,6,40,15,5756,22882,0.282,240,18,51,57,22,76,5,2020
9,10,SK,5.57,1,3,47,19,5727,22729,0.275,225,17,41,46,12,85,5,2020
0,1,LG,3.57,0,18,50,14,5453,21456,0.238,197,18,45,43,18,43,5,2021
1,2,KT,3.67,2,6,76,16,5397,20893,0.246,184,13,46,48,18,56,1,2021
2,3,µÎ»ê,4.26,2,10,55,15,5631,22163,0.267,212,21,61,61,16,52,7,2021
3,4,»ï¼º,4.30,2,14,66,13,5536,21926,0.266,230,24,45,36,13,58,3,2021
4,5,Å°¿ò,4.31,1,7,57,16,5599,21670,0.264,223,7,55,48,27,59,4,2021
5,6,NC,4.54,3,10,53,18,5622,22346,0.260,231,15,34,41,14,75,8,2021
6,7,ÇÑÈ­,4.65,1,6,41,19,5672,22852,0.252,223,19,46,63,23,56,11,2021
7,8,SSG,4.82,0,5,42,24,5706,22459,0.265,214,14,54,50,27,41,9,2021
8,9,KIA,4.89,1,6,39,16,5701,22375,0.265,214,16,58,63,5,59,9,2021
9,10,·Ôµ¥,5.37,1,12,46,15,5759,22835,0.271,253,16,53,40,19,102,5,2021
0,1,LG,3.33,0,16,59,15,5432,20918,0.245,166,34,56,46,27,49,0,2022
1,2,KT,3.51,1,8,81,13,5405,20356,0.254,188,19,54,38,22,43,3,2022
2,3,Å°¿ò,3.79,2,19,71,18,5579,21568,0.254,259,15,66,42,18,51,1,2022
3,4,SSG,3.87,1,10,78,23,5533,21355,0.248,174,17,53,33,18,75,2,2022
4,5,NC,3.90,0,11,58,15,5604,22069,0.252,218,18,60,42,10,80,5,2022
5,6,KIA,4.20,0,7,64,18,5636,21803,0.261,233,22,75,45,20,56,2,2022
6,7,»ï¼º,4.29,1,6,63,21,5678,22174,0.272,251,15,62,34,22,47,3,2022
7,8,µÎ»ê,4.45,0,7,54,18,5700,22437,0.269,206,19,57,48,11,69,5,2022
8,9,·Ôµ¥,4.45,0,13,58,13,5686,21932,0.274,257,22,64,37,21,72,1,2022
9,10,ÇÑÈ­,4.83,1,9,37,25,5710,22412,0.268,268,22,63,57,39,65,4,2022
0,1,LG,3.67,0,9,50,18,5619,21814,0.256,215,17,64,42,15,47,5,2023
1,2,NC,3.83,0,14,53,17,5493,21941,0.241,179,24,63,42,6,58,3,2023
2,3,µÎ»ê,3.92,0,9,64,17,5582,22142,0.255,239,17,79,39,12,60,3,2023
3,4,KT,3.94,0,12,64,14,5542,20672,0.268,213,22,81,54,22,63,4,2023
4,5,KIA,4.13,1,8,46,10,5558,21710,0.258,220,25,67,45,20,55,4,2023
5,6,·Ôµ¥,4.15,1,10,66,21,5653,22286,0.270,223,24,72,55,20,71,2,2023
6,7,SSG,4.37,1,7,57,21,5722,22881,0.275,216,14,59,52,20,61,3,2023
7,8,ÇÑÈ­,4.38,0,8,40,24,5682,22355,0.261,241,34,60,48,23,73,7,2023
8,9,Å°¿ò,4.42,1,11,68,24,5704,21903,0.269,237,23,62,57,18,56,7,2023
9,10,»ï¼º,4.60,1,5,63,17,5676,22135,0.280,238,22,66,51,19,51,7,2023
