,¼øÀ§,ÆÀ¸í,°æ±â,½Â,ÆÐ,¹«,½Â·ü,°ÔÀÓÂ÷,ÃÖ±Ù10°æ±â,¿¬¼Ó,È¨,¹æ¹®,Year
0,1,µÎ»ê,133,65,63,5,0.508,0,2½Â0¹«8ÆÐ,3ÆÐ,33-4-29,32-1-34,2001
1,2,»ï¼º,133,81,52,0,0.609,-13.5,4½Â0¹«6ÆÐ,1½Â,42-0-24,39-0-28,2001
2,3,Çö´ë,133,72,57,4,0.558,-6.5,3½Â0¹«7ÆÐ,1½Â,39-1-27,33-3-30,2001
3,4,ÇÑÈ­,133,61,68,4,0.473,4.5,7½Â0¹«3ÆÐ,2ÆÐ,27-3-36,34-1-32,2001
4,5,KIA,133,60,68,5,0.469,5,6½Â0¹«4ÆÐ,1½Â,28-3-36,32-2-32,2001
5,6,LG,133,58,67,8,0.464,5.5,7½Â0¹«3ÆÐ,3½Â,33-1-33,25-7-34,2001
6,7,SK,133,60,71,2,0.458,6.5,7½Â0¹«3ÆÐ,1ÆÐ,32-1-34,28-1-37,2001
7,8,·Ôµ¥,133,59,70,4,0.457,6.5,5½Â0¹«5ÆÐ,2ÆÐ,26-3-37,33-1-33,2001
0,1,»ï¼º,133,82,47,4,0.636,0,6½Â0¹«4ÆÐ,2½Â,40-2-25,42-2-22,2002
1,2,LG,133,66,61,6,0.520,15,5½Â0¹«5ÆÐ,1½Â,32-4-30,34-2-31,2002
2,3,KIA,133,78,51,4,0.605,4,4½Â0¹«6ÆÐ,2ÆÐ,38-4-24,40-0-27,2002
3,4,Çö´ë,133,70,58,5,0.547,11.5,6½Â0¹«4ÆÐ,1ÆÐ,36-2-28,34-3-30,2002
4,5,µÎ»ê,133,66,65,2,0.504,17,4½Â0¹«6ÆÐ,2ÆÐ,32-0-35,34-2-30,2002
5,6,SK,133,61,69,3,0.469,21.5,5½Â0¹«5ÆÐ,3½Â,31-2-33,30-1-36,2002
6,7,ÇÑÈ­,133,59,69,5,0.461,22.5,3½Â0¹«7ÆÐ,1½Â,31-1-35,28-4-34,2002
7,8,·Ôµ¥,133,35,97,1,0.265,48.5,5½Â0¹«5ÆÐ,1ÆÐ,18-0-49,17-1-48,2002
0,1,»ï¼º,133,82,47,4,0.636,0,6½Â0¹«4ÆÐ,2½Â,40-2-25,42-2-22,2003
1,2,LG,133,66,61,6,0.520,15,5½Â0¹«5ÆÐ,1½Â,32-4-30,34-2-31,2003
2,3,KIA,133,78,51,4,0.605,4,4½Â0¹«6ÆÐ,2ÆÐ,38-4-24,40-0-27,2003
3,4,Çö´ë,133,70,58,5,0.547,11.5,6½Â0¹«4ÆÐ,1ÆÐ,36-2-28,34-3-30,2003
4,5,µÎ»ê,133,66,65,2,0.504,17,4½Â0¹«6ÆÐ,2ÆÐ,32-0-35,34-2-30,2003
5,6,SK,133,61,69,3,0.469,21.5,5½Â0¹«5ÆÐ,3½Â,31-2-33,30-1-36,2003
6,7,ÇÑÈ­,133,59,69,5,0.461,22.5,3½Â0¹«7ÆÐ,1½Â,31-1-35,28-4-34,2003
7,8,·Ôµ¥,133,35,97,1,0.265,48.5,5½Â0¹«5ÆÐ,1ÆÐ,18-0-49,17-1-48,2003
0,1,Çö´ë,133,75,53,5,0.586,0,7½Â0¹«3ÆÐ,3½Â,40-4-22,35-1-31,2004
1,2,»ï¼º,133,73,52,8,0.584,0.5,6½Â1¹«3ÆÐ,1ÆÐ,36-3-28,37-5-24,2004
2,3,µÎ»ê,133,70,62,1,0.530,7,6½Â0¹«4ÆÐ,1½Â,40-0-27,30-1-35,2004
3,4,KIA,133,67,61,5,0.523,8,4½Â1¹«5ÆÐ,3ÆÐ,34-2-30,33-3-31,2004
4,5,SK,133,61,64,8,0.488,12.5,2½Â0¹«8ÆÐ,1ÆÐ,32-5-29,29-3-35,2004
5,6,LG,133,59,70,4,0.457,16.5,4½Â0¹«6ÆÐ,2ÆÐ,33-4-29,26-0-41,2004
6,7,ÇÑÈ­,133,53,74,6,0.417,21.5,5½Â0¹«5ÆÐ,1½Â,27-3-37,26-3-37,2004
7,8,·Ôµ¥,133,50,72,11,0.410,22,5½Â0¹«5ÆÐ,3½Â,24-3-40,26-8-32,2004
0,1,»ï¼º,126,74,48,4,0.607,0,5½Â0¹«5ÆÐ,1½Â,36-3-24,38-1-24,2005
1,2,µÎ»ê,126,72,51,3,0.585,2.5,9½Â0¹«1ÆÐ,6½Â,41-0-22,31-3-29,2005
2,3,SK,126,70,50,6,0.583,3,6½Â0¹«4ÆÐ,1ÆÐ,35-4-24,35-2-26,2005
3,4,ÇÑÈ­,126,64,61,1,0.512,11.5,3½Â0¹«7ÆÐ,2ÆÐ,35-1-27,29-0-34,2005
4,5,·Ôµ¥,126,58,67,1,0.464,17.5,5½Â0¹«5ÆÐ,1½Â,29-0-34,29-1-33,2005
5,6,LG,126,54,71,1,0.432,21.5,5½Â0¹«5ÆÐ,1½Â,33-0-30,21-1-41,2005
6,7,Çö´ë,126,53,70,3,0.431,21.5,6½Â0¹«4ÆÐ,2ÆÐ,26-2-35,27-1-35,2005
7,8,KIA,126,49,76,1,0.392,26.5,4½Â0¹«6ÆÐ,1ÆÐ,28-0-35,21-1-41,2005
0,1,»ï¼º,126,73,50,3,0.593,0,6½Â0¹«4ÆÐ,2½Â,39-1-23,34-2-27,2006
1,2,ÇÑÈ­,126,67,57,2,0.540,6.5,7½Â0¹«3ÆÐ,2½Â,33-2-28,34-0-29,2006
2,3,Çö´ë,126,70,55,1,0.560,4,5½Â0¹«5ÆÐ,2ÆÐ,35-1-27,35-0-28,2006
3,4,KIA,126,64,59,3,0.520,9,6½Â0¹«4ÆÐ,2½Â,33-2-28,31-1-31,2006
4,5,µÎ»ê,126,63,60,3,0.512,10,7½Â0¹«3ÆÐ,1½Â,34-1-28,29-2-32,2006
5,6,SK,126,60,65,1,0.480,14,5½Â0¹«5ÆÐ,1½Â,33-1-29,27-0-36,2006
6,7,·Ôµ¥,126,50,73,3,0.407,23,2½Â0¹«8ÆÐ,4ÆÐ,34-2-27,16-1-46,2006
7,8,LG,126,47,75,4,0.385,25.5,2½Â0¹«8ÆÐ,8ÆÐ,30-0-33,17-4-42,2006
0,1,SK,126,73,48,5,0.603,0,6½Â0¹«4ÆÐ,1½Â,39-3-21,34-2-27,2007
1,2,µÎ»ê,126,70,54,2,0.565,4.5,8½Â0¹«2ÆÐ,1ÆÐ,38-1-24,32-1-30,2007
2,3,ÇÑÈ­,126,67,57,2,0.540,7.5,6½Â0¹«4ÆÐ,1½Â,34-1-28,33-1-29,2007
3,4,»ï¼º,126,62,60,4,0.508,11.5,3½Â0¹«7ÆÐ,2ÆÐ,35-1-27,27-3-33,2007
4,5,LG,126,58,62,6,0.483,14.5,4½Â0¹«6ÆÐ,1ÆÐ,29-5-29,29-1-33,2007
5,6,Çö´ë,126,56,69,1,0.448,19,5½Â0¹«5ÆÐ,2½Â,29-0-34,27-1-35,2007
6,7,·Ôµ¥,126,55,68,3,0.447,19,4½Â0¹«6ÆÐ,2½Â,30-1-32,25-2-36,2007
7,8,KIA,126,51,74,1,0.408,24,4½Â0¹«6ÆÐ,1ÆÐ,27-0-36,24-1-38,2007
0,1,SK,126,83,43,0,0.659,0,5½Â0¹«5ÆÐ,2ÆÐ,43-0-20,40-0-23,2008
1,2,µÎ»ê,126,70,56,0,0.556,13,3½Â0¹«7ÆÐ,2ÆÐ,35-0-28,35-0-28,2008
2,3,·Ôµ¥,126,69,57,0,0.548,14,4½Â0¹«6ÆÐ,1ÆÐ,32-0-31,37-0-26,2008
3,4,»ï¼º,126,65,61,0,0.516,18,5½Â0¹«5ÆÐ,1½Â,33-0-30,32-0-31,2008
4,5,ÇÑÈ­,126,64,62,0,0.508,19,6½Â0¹«4ÆÐ,2½Â,35-0-28,29-0-34,2008
5,6,KIA,126,57,69,0,0.452,26,5½Â0¹«5ÆÐ,1½Â,30-0-33,27-0-36,2008
6,7,¿ì¸®,126,50,76,0,0.397,33,6½Â0¹«4ÆÐ,1½Â,26-0-37,24-0-39,2008
7,8,LG,126,46,80,0,0.365,37,4½Â0¹«6ÆÐ,1½Â,24-0-39,22-0-41,2008
0,1,KIA,133,81,48,4,0.609,0,8½Â0¹«2ÆÐ,7½Â,37-4-25,44-0-23,2009
1,2,SK,133,80,47,6,0.602,0,9½Â1¹«0ÆÐ,19½Â,40-2-25,40-4-22,2009
2,3,µÎ»ê,133,71,60,2,0.534,11,4½Â0¹«6ÆÐ,2ÆÐ,34-1-32,37-1-28,2009
3,4,·Ôµ¥,133,66,67,0,0.496,17,6½Â0¹«4ÆÐ,2ÆÐ,34-0-33,32-0-34,2009
4,5,»ï¼º,133,64,69,0,0.481,19,3½Â0¹«7ÆÐ,4ÆÐ,37-0-30,27-0-39,2009
5,6,È÷¾î·ÎÁî,133,60,72,1,0.451,22.5,2½Â0¹«8ÆÐ,3ÆÐ,31-0-35,29-1-37,2009
6,7,LG,133,54,75,4,0.406,27,3½Â1¹«6ÆÐ,2½Â,29-2-35,25-2-40,2009
7,8,ÇÑÈ­,133,46,84,3,0.346,35.5,5½Â0¹«5ÆÐ,2½Â,23-1-42,23-2-42,2009
0,1,SK,133,84,47,2,0.632,0,6½Â1¹«3ÆÐ,1½Â,40-0-26,44-2-21,2010
1,2,»ï¼º,133,79,52,2,0.594,5,4½Â1¹«5ÆÐ,1½Â,37-0-29,42-2-23,2010
2,3,µÎ»ê,133,73,57,3,0.549,10.5,5½Â0¹«5ÆÐ,1ÆÐ,37-2-27,36-1-30,2010
3,4,·Ôµ¥,133,69,61,3,0.519,14.5,8½Â0¹«2ÆÐ,4½Â,33-1-32,36-2-29,2010
4,5,KIA,133,59,74,0,0.444,26,5½Â0¹«5ÆÐ,3ÆÐ,30-0-37,29-0-37,2010
5,6,LG,133,57,71,5,0.429,25.5,3½Â2¹«5ÆÐ,1ÆÐ,31-3-33,26-2-38,2010
6,7,³Ø¼¾,133,52,78,3,0.391,31.5,2½Â0¹«8ÆÐ,2ÆÐ,23-3-41,29-0-37,2010
7,8,ÇÑÈ­,133,49,82,2,0.368,35,5½Â1¹«4ÆÐ,2½Â,27-1-39,22-1-43,2010
0,1,»ï¼º,133,79,50,4,0.612,0,5½Â2¹«3ÆÐ,1½Â,41-1-25,38-3-25,2011
1,2,SK,133,71,59,3,0.546,8.5,5½Â1¹«4ÆÐ,2½Â,34-2-31,37-1-28,2011
2,3,·Ôµ¥,133,72,56,5,0.563,6.5,8½Â0¹«2ÆÐ,4½Â,40-3-24,32-2-32,2011
3,4,KIA,133,70,63,0,0.526,11,5½Â0¹«5ÆÐ,2ÆÐ,36-0-30,34-0-33,2011
4,5,µÎ»ê,133,61,70,2,0.466,19,6½Â0¹«4ÆÐ,5½Â,30-0-37,31-2-33,2011
5,6,LG,133,59,72,2,0.450,21,2½Â1¹«7ÆÐ,1ÆÐ,29-1-36,30-1-36,2011
6,6,ÇÑÈ­,133,59,72,2,0.450,21,4½Â0¹«6ÆÐ,3ÆÐ,31-2-33,28-0-39,2011
7,8,³Ø¼¾,133,51,80,2,0.389,29,3½Â0¹«7ÆÐ,4ÆÐ,34-1-31,17-1-49,2011
0,1,»ï¼º,133,80,51,2,0.611,0,8½Â0¹«2ÆÐ,1½Â,39-1-26,41-1-25,2012
1,2,SK,133,71,59,3,0.546,8.5,5½Â0¹«5ÆÐ,1½Â,38-2-26,33-1-33,2012
2,3,µÎ»ê,133,68,62,3,0.523,11.5,5½Â0¹«5ÆÐ,1ÆÐ,32-0-34,36-3-28,2012
3,4,·Ôµ¥,133,65,62,6,0.512,13,3½Â0¹«7ÆÐ,1ÆÐ,35-4-27,30-2-35,2012
4,5,KIA,133,62,65,6,0.488,16,7½Â0¹«3ÆÐ,1ÆÐ,32-5-30,30-1-35,2012
5,6,³Ø¼¾,133,61,69,3,0.469,18.5,3½Â1¹«6ÆÐ,2ÆÐ,34-1-32,27-2-37,2012
6,7,LG,133,57,72,4,0.442,22,5½Â0¹«5ÆÐ,2½Â,25-1-41,32-3-31,2012
7,8,ÇÑÈ­,133,53,77,3,0.408,26.5,2½Â1¹«7ÆÐ,1ÆÐ,27-1-39,26-2-38,2012
0,1,»ï¼º,128,75,51,2,0.595,0,6½Â0¹«4ÆÐ,1ÆÐ,37-0-27,38-2-24,2013
1,2,µÎ»ê,128,71,54,3,0.568,3.5,6½Â0¹«4ÆÐ,1ÆÐ,37-1-26,34-2-28,2013
2,3,LG,128,74,54,0,0.578,2,4½Â0¹«6ÆÐ,2½Â,37-0-27,37-0-27,2013
3,4,³Ø¼¾,128,72,54,2,0.571,3,5½Â0¹«5ÆÐ,1ÆÐ,36-2-26,36-0-28,2013
4,5,·Ôµ¥,128,66,58,4,0.532,8,8½Â0¹«2ÆÐ,2½Â,33-3-28,33-1-30,2013
5,6,SK,128,62,63,3,0.496,12.5,3½Â1¹«6ÆÐ,2ÆÐ,31-2-31,31-1-32,2013
6,7,NC,128,52,72,4,0.419,22,4½Â0¹«6ÆÐ,1½Â,28-2-34,24-2-38,2013
7,8,KIA,128,51,74,3,0.408,23.5,3½Â1¹«6ÆÐ,3ÆÐ,22-1-41,29-2-33,2013
8,9,ÇÑÈ­,128,42,85,1,0.331,33.5,4½Â0¹«6ÆÐ,1½Â,21-0-43,21-1-42,2013
0,1,»ï¼º,128,78,47,3,0.624,0,3½Â0¹«7ÆÐ,1ÆÐ,40-2-22,38-1-25,2014
1,2,³Ø¼¾,128,78,48,2,0.619,0.5,7½Â1¹«2ÆÐ,6½Â,42-1-21,36-1-27,2014
2,3,NC,128,70,57,1,0.551,9,6½Â0¹«4ÆÐ,1ÆÐ,38-0-26,32-1-31,2014
3,4,LG,128,62,64,2,0.492,16.5,6½Â0¹«4ÆÐ,3ÆÐ,33-1-30,29-1-34,2014
4,5,SK,128,61,65,2,0.484,17.5,6½Â1¹«3ÆÐ,1ÆÐ,31-2-31,30-0-34,2014
5,6,µÎ»ê,128,59,68,1,0.465,20,6½Â0¹«4ÆÐ,1½Â,29-0-35,30-1-33,2014
6,7,·Ôµ¥,128,58,69,1,0.457,21,5½Â0¹«5ÆÐ,1½Â,32-1-31,26-0-38,2014
7,8,KIA,128,54,74,0,0.422,25.5,3½Â0¹«7ÆÐ,2½Â,26-0-38,28-0-36,2014
8,9,ÇÑÈ­,128,49,77,2,0.389,29.5,2½Â0¹«8ÆÐ,5ÆÐ,28-0-36,21-2-41,2014
0,1,µÎ»ê,144,79,65,0,0.549,9,6½Â0¹«4ÆÐ,2½Â,41-0-31,38-0-34,2015
1,2,»ï¼º,144,88,56,0,0.611,0,6½Â0¹«4ÆÐ,3½Â,46-0-26,42-0-30,2015
2,3,NC,144,84,57,3,0.596,2.5,6½Â1¹«3ÆÐ,1ÆÐ,40-2-30,44-1-27,2015
3,4,³Ø¼¾,144,78,65,1,0.545,9.5,4½Â0¹«6ÆÐ,1ÆÐ,40-0-32,38-1-33,2015
4,5,SK,144,69,73,2,0.486,18,6½Â0¹«4ÆÐ,1½Â,37-1-34,32-1-39,2015
5,6,ÇÑÈ­,144,68,76,0,0.472,20,6½Â0¹«4ÆÐ,1ÆÐ,38-0-34,30-0-42,2015
6,7,KIA,144,67,77,0,0.465,21,4½Â0¹«6ÆÐ,4ÆÐ,36-0-36,31-0-41,2015
7,8,·Ôµ¥,144,66,77,1,0.462,21.5,2½Â0¹«8ÆÐ,1½Â,37-0-35,29-1-42,2015
8,9,LG,144,64,78,2,0.451,23,6½Â0¹«4ÆÐ,2½Â,33-2-37,31-0-41,2015
9,10,KT,144,52,91,1,0.364,35.5,2½Â1¹«7ÆÐ,1ÆÐ,30-0-42,22-1-49,2015
0,1,µÎ»ê,144,93,50,1,0.650,0,6½Â0¹«4ÆÐ,2½Â,46-1-25,47-0-25,2016
1,2,NC,144,83,58,3,0.589,9,6½Â0¹«4ÆÐ,2ÆÐ,39-2-31,44-1-27,2016
2,3,³Ø¼¾,144,77,66,1,0.538,16,3½Â0¹«7ÆÐ,3ÆÐ,44-0-28,33-1-38,2016
3,4,LG,144,71,71,2,0.500,21.5,4½Â1¹«5ÆÐ,1ÆÐ,40-2-30,31-0-41,2016
4,5,KIA,144,70,73,1,0.490,23,5½Â0¹«5ÆÐ,2ÆÐ,38-0-34,32-1-39,2016
5,6,SK,144,69,75,0,0.479,24.5,4½Â0¹«6ÆÐ,1½Â,35-0-37,34-0-38,2016
6,7,ÇÑÈ­,144,66,75,3,0.468,26,6½Â0¹«4ÆÐ,3½Â,36-2-34,30-1-41,2016
7,8,·Ôµ¥,144,66,78,0,0.458,27.5,5½Â0¹«5ÆÐ,2½Â,40-0-32,26-0-46,2016
8,9,»ï¼º,144,65,78,1,0.455,28,5½Â0¹«5ÆÐ,1ÆÐ,34-0-38,31-1-40,2016
9,10,KT,144,53,89,2,0.373,39.5,4½Â0¹«6ÆÐ,2½Â,28-0-44,25-2-45,2016
0,1,KIA,144,87,56,1,0.608,0,6½Â0¹«4ÆÐ,2½Â,45-0-27,42-1-29,2017
1,2,µÎ»ê,144,84,57,3,0.596,2,8½Â0¹«2ÆÐ,1ÆÐ,39-3-30,45-0-27,2017
2,3,·Ôµ¥,144,80,62,2,0.563,6.5,8½Â0¹«2ÆÐ,5½Â,45-2-25,35-0-37,2017
3,4,NC,144,79,62,3,0.560,7,5½Â1¹«4ÆÐ,4½Â,44-1-27,35-2-35,2017
4,5,SK,144,75,68,1,0.524,12,7½Â0¹«3ÆÐ,2½Â,42-0-30,33-1-38,2017
5,6,LG,144,69,72,3,0.489,17,4½Â0¹«6ÆÐ,2ÆÐ,38-0-34,31-3-38,2017
6,7,³Ø¼¾,144,69,73,2,0.486,17.5,3½Â0¹«7ÆÐ,4ÆÐ,39-2-31,30-0-42,2017
7,8,ÇÑÈ­,144,61,81,2,0.430,25.5,3½Â1¹«6ÆÐ,5ÆÐ,30-1-41,31-1-40,2017
8,9,»ï¼º,144,55,84,5,0.396,30,4½Â0¹«6ÆÐ,2½Â,28-2-42,27-3-42,2017
9,10,KT,144,50,94,0,0.347,37.5,3½Â0¹«7ÆÐ,2ÆÐ,27-0-45,23-0-49,2017
0,1,SK,144,78,65,1,0.545,14.5,3½Â0¹«7ÆÐ,2ÆÐ,42-0-30,36-1-35,2018
1,2,µÎ»ê,144,93,51,0,0.646,0,6½Â0¹«4ÆÐ,1½Â,51-0-21,42-0-30,2018
2,3,ÇÑÈ­,144,77,67,0,0.535,16,5½Â0¹«5ÆÐ,1½Â,43-0-29,34-0-38,2018
3,4,³Ø¼¾,144,75,69,0,0.521,18,5½Â0¹«5ÆÐ,1ÆÐ,37-0-35,38-0-34,2018
4,5,KIA,144,70,74,0,0.486,23,4½Â0¹«6ÆÐ,1ÆÐ,43-0-29,27-0-45,2018
5,6,»ï¼º,144,68,72,4,0.486,23,6½Â1¹«3ÆÐ,2½Â,33-3-36,35-1-36,2018
6,7,·Ôµ¥,144,68,74,2,0.479,24,6½Â0¹«4ÆÐ,1ÆÐ,34-0-38,34-2-36,2018
7,8,LG,144,68,75,1,0.476,24.5,4½Â0¹«6ÆÐ,2½Â,39-1-32,29-0-43,2018
8,9,KT,144,59,82,3,0.418,32.5,5½Â0¹«5ÆÐ,1½Â,31-2-39,28-1-43,2018
9,10,NC,144,58,85,1,0.406,34.5,2½Â0¹«8ÆÐ,3ÆÐ,33-0-39,25-1-46,2018
0,1,µÎ»ê,144,88,55,1,0.615,0,8½Â1¹«1ÆÐ,5½Â,47-0-25,41-1-30,2019
1,2,Å°¿ò,144,86,57,1,0.601,2,6½Â0¹«4ÆÐ,2½Â,45-1-26,41-0-31,2019
2,3,SK,144,88,55,1,0.615,0,4½Â0¹«6ÆÐ,2½Â,44-1-27,44-0-28,2019
3,4,LG,144,79,64,1,0.552,9,4½Â0¹«6ÆÐ,1½Â,41-1-30,38-0-34,2019
4,5,NC,144,73,69,2,0.514,14.5,4½Â1¹«5ÆÐ,2ÆÐ,40-2-30,33-0-39,2019
5,6,KT,144,71,71,2,0.500,16.5,7½Â0¹«3ÆÐ,2½Â,41-1-30,30-1-41,2019
6,7,KIA,144,62,80,2,0.437,25.5,5½Â0¹«5ÆÐ,3½Â,39-0-33,23-2-47,2019
7,8,»ï¼º,144,60,83,1,0.420,28,4½Â0¹«6ÆÐ,1ÆÐ,36-0-36,24-1-47,2019
8,9,ÇÑÈ­,144,58,86,0,0.403,30.5,6½Â0¹«4ÆÐ,3ÆÐ,31-0-41,27-0-45,2019
9,10,·Ôµ¥,144,48,93,3,0.340,39,1½Â0¹«9ÆÐ,8ÆÐ,29-1-42,19-2-51,2019
0,1,NC,144,83,55,6,0.601,0,4½Â2¹«4ÆÐ,1ÆÐ,45-3-24,38-3-31,2020
1,2,µÎ»ê,144,79,61,4,0.564,5,6½Â0¹«4ÆÐ,4½Â,41-2-29,38-2-32,2020
2,3,KT,144,81,62,1,0.566,4.5,7½Â0¹«3ÆÐ,1ÆÐ,44-0-28,37-1-34,2020
3,4,LG,144,79,61,4,0.564,5,5½Â1¹«4ÆÐ,2ÆÐ,39-3-30,40-1-31,2020
4,5,Å°¿ò,144,80,63,1,0.559,5.5,6½Â0¹«4ÆÐ,1ÆÐ,41-1-30,39-0-33,2020
5,6,KIA,144,73,71,0,0.507,13,4½Â0¹«6ÆÐ,1½Â,37-0-35,36-0-36,2020
6,7,·Ôµ¥,144,71,72,1,0.497,14.5,3½Â0¹«7ÆÐ,1½Â,41-0-31,30-1-41,2020
7,8,»ï¼º,144,64,75,5,0.460,19.5,6½Â2¹«2ÆÐ,1½Â,33-2-37,31-3-38,2020
8,9,SK,144,51,92,1,0.357,34.5,5½Â0¹«5ÆÐ,1½Â,28-0-44,23-1-48,2020
9,10,ÇÑÈ­,144,46,95,3,0.326,38.5,3½Â1¹«6ÆÐ,1½Â,25-2-45,21-1-50,2020
0,1,KT,144,76,59,9,0.563,0,3½Â1¹«6ÆÐ,1½Â,41-7-24,35-2-35,2021
1,2,µÎ»ê,144,71,65,8,0.522,5.5,5½Â2¹«3ÆÐ,2½Â,35-6-31,36-2-34,2021
2,3,»ï¼º,144,76,59,9,0.563,0,6½Â1¹«3ÆÐ,1½Â,42-4-26,34-5-33,2021
3,4,LG,144,72,58,14,0.554,1.5,3½Â5¹«2ÆÐ,1ÆÐ,40-3-29,32-11-29,2021
4,5,Å°¿ò,144,70,67,7,0.511,7,6½Â1¹«3ÆÐ,3½Â,42-4-26,28-3-41,2021
5,6,SSG,144,66,64,14,0.508,7.5,4½Â2¹«4ÆÐ,1ÆÐ,37-8-27,29-6-37,2021
6,7,NC,144,67,68,9,0.496,9,4½Â1¹«5ÆÐ,1ÆÐ,36-2-34,31-7-34,2021
7,8,·Ôµ¥,144,65,71,8,0.478,11.5,4½Â2¹«4ÆÐ,1½Â,31-5-36,34-3-35,2021
8,9,KIA,144,58,76,10,0.433,17.5,5½Â0¹«5ÆÐ,2ÆÐ,31-4-37,27-6-39,2021
9,10,ÇÑÈ­,144,49,83,12,0.371,25.5,2½Â2¹«6ÆÐ,6ÆÐ,25-7-40,24-5-43,2021
0,1,SSG,144,88,52,4,0.629,0,4½Â0¹«6ÆÐ,4ÆÐ,49-0-23,39-4-29,2022
1,2,Å°¿ò,144,80,62,2,0.563,9,5½Â0¹«5ÆÐ,1½Â,39-1-32,41-1-30,2022
2,3,LG,144,87,55,2,0.613,2,4½Â0¹«6ÆÐ,1½Â,38-1-33,49-1-22,2022
3,4,KT,144,80,62,2,0.563,9,7½Â0¹«3ÆÐ,1ÆÐ,40-1-31,40-1-31,2022
4,5,KIA,144,70,73,1,0.490,19.5,7½Â0¹«3ÆÐ,1ÆÐ,31-0-41,39-1-32,2022
5,6,NC,144,67,74,3,0.475,21.5,6½Â0¹«4ÆÐ,1ÆÐ,35-3-34,32-0-40,2022
6,7,»ï¼º,144,66,76,2,0.465,23,6½Â0¹«4ÆÐ,2½Â,33-2-37,33-0-39,2022
7,8,·Ôµ¥,144,64,76,4,0.457,24,5½Â0¹«5ÆÐ,1½Â,27-3-42,37-1-34,2022
8,9,µÎ»ê,144,60,82,2,0.423,29,4½Â0¹«6ÆÐ,2ÆÐ,29-1-42,31-1-40,2022
9,10,ÇÑÈ­,144,46,96,2,0.324,43,3½Â0¹«7ÆÐ,1ÆÐ,28-0-44,18-2-52,2022
0,1,LG,144,86,56,2,0.606,0,5½Â0¹«5ÆÐ,1½Â,45-1-25,41-1-31,2023
1,2,KT,144,79,62,3,0.560,6.5,6½Â0¹«4ÆÐ,3½Â,41-2-30,38-1-32,2023
2,3,SSG,144,76,65,3,0.539,9.5,8½Â0¹«2ÆÐ,2½Â,39-2-32,37-1-33,2023
3,4,NC,144,75,67,2,0.528,11,5½Â0¹«5ÆÐ,2ÆÐ,41-1-29,34-1-38,2023
4,5,µÎ»ê,144,74,68,2,0.521,12,4½Â0¹«6ÆÐ,3ÆÐ,37-1-35,37-1-33,2023
5,6,KIA,144,73,69,2,0.514,13,7½Â0¹«3ÆÐ,2½Â,38-2-31,35-0-38,2023
6,7,·Ôµ¥,144,68,76,0,0.472,19,4½Â0¹«6ÆÐ,1½Â,38-0-35,30-0-41,2023
7,8,»ï¼º,144,61,82,1,0.427,25.5,4½Â0¹«6ÆÐ,1ÆÐ,32-0-39,29-1-43,2023
8,9,ÇÑÈ­,144,58,80,6,0.420,26,3½Â0¹«7ÆÐ,1ÆÐ,32-1-40,26-5-40,2023
9,10,Å°¿ò,144,58,83,3,0.411,27.5,5½Â0¹«5ÆÐ,2ÆÐ,33-2-36,25-1-47,2023
